K코드,업체명,제품명,효능,사용법,주의사항경고,주의사항,상호작용,부작용,보관법
K-012769,(주)대웅제약,닥터베아제정 80mg/병,"이 약은 소화불량, 식욕감퇴(식욕부진), 과식, 체함, 소화촉진, 소화불량으로 인한 위부팽만감에 사용합니다.
","성인 1회 1정을 1일 3회 식후에 복용합니다.
",,"만 7세 이하의 소아는 이 약을 복용하지 마십시오.

이 약을 복용하기 전에 알레르기 체질인 사람, 임부 또는 임신하고 있을 가능성이 있는 여성, 이 약 또는 황색4호에 과민증 환자는 의사 또는 약사와 상담하십시오.

정해진 용법과 용량을 잘 지키십시오.

2주 정도 복용하여도 증상의 개선이 없을 경우 즉각 복용을 중지하고 의사 또는 약사와 상담하십시오.
",,,"습기와 빛을 피해 실온에서 보관하십시오.

어린이의 손이 닿지 않는 곳에 보관하십시오.
"
K-013626,켄뷰코리아판매유한회사,타이레놀콜드-에스정 325mg/PTP,"이 약은 감기의 제증상(여러증상)(콧물, 코막힘, 재채기, 인후(목구멍)통, 기침, 오한(춥고 떨리는 증상), 발열, 두통, 관절통, 근육통)의 완화에 사용합니다.
","만 15세 이상은 1회 1정씩, 1일 3회 식후 30분에 복용합니다.
","매일 세 잔 이상 정기적 음주자가 이 약 또는 다른 해열진통제를 복용할  때는 의사 또는 약사와 상의하십시오. 간손상을 일으킬 수 있습니다.

매우 드물게 치명적일 수 있는 급성 전신성 발진성 고름물집증, 스티븐스-존슨 증후군, 독성 표피 괴사용해, 호산구 증가 및 전신 증상 동반 약물 반응(DRESS 증후군)과 같은 중대한 피부반응이 보고되었고 이 약 복용후 피부발진 또는 다른 과민반응의 징후가 나타나는 경우 즉시 복용을 중단하십시오.

아세트아미노펜으로 일일 최대 용량(4,000 mg)을 초과하여 복용하지 마십시오. 간손상을 일으킬 수 있습니다. 아세트아미노펜을 포함하는 다른 제품과 함께 복용하지 마십시오.

급성전신발진고름물집증과 같은 중증 피부 이상반응이 나타나는 경우 복용을 중단하고 의사 또는 약사와 상의하십시오.
","이 약에 과민증 또는 경험자, 다른 해열진통제, 감기약 복용 시 천식을 일으킨 적이 있는 사람, 만 3개월 미만의 영아(갓난아기), 중증 또는 조절되지 않는 고혈압 환자는 이 약을 복용하지 마십시오.

이 약을 복용하기 전에 만 2세 미만의 영·유아, 황색 4호, 황색 5호에 과민증 또는 경험자, 수두 또는 인플루엔자에 감염되어 있거나 또는 의심되는 영아 및 만 15세 미만의 어린이, 알레르기 체질, 약에 의한 알레르기(발열, 발진, 관절통, 천식, 가려움증 등) 경험자, 간장질환, 신장질환, 심장질환, 갑상선질환, 당뇨병, 고혈압, 위십이지장궤양, 녹내장(눈의 통증, 눈이 침침함 등), 배뇨(소변을 눔) 곤란 등이 있는 사람, 고령자, 몸이 약한 사람 또는 고열이 있는 사람, 속쓰림, 위부불쾌감, 위통과 같은 위장문제가 지속 혹은 재발되거나 궤양, 출혈 문제를 가지고 있는 사람, 임부 또는 임신하고 있을 가능성이 있는 여성, 수유부, 덱스트로메토르판 분해효소 CYP2D6 느린 대사자, 글루타치온 보유량이 낮은 상태의 환자, 흡연, 천식, 만성 기관지염, 폐기종, 과도한 가래가 동반되는 기침, 1주 이상 지속 또는 재발되는 기침, 만성 기침, 발열·발진이나 지속적인 두통이 동반되는 기침 등의 증상이 나타나는 경우 의사 또는 약사와 상의하십시오.

5~6회 복용하여도 증상이 좋아지지 않을 경우 의사 또는 약사와 상의하십시오.

정해진 용법과 용량을 잘 지키십시오.

어린이에게 투여할 경우 보호자의 지도·감독하에 투여하십시오.

복용 후 졸음이 나타날 수 있으므로 운전 및 기계조작 시 주의하십시오.

장기간 계속하여 복용하지 마십시오.
","MAO 억제제(항우울제, 항정신병제, 감정조절제, 항파킨슨제 등), 진해거담제(기침·가래약), 다른 감기약, 해열진통제, 진정제, 항히스타민제를 함유하는 내복약(비염[코염]용 경구제, 멀미약, 알레르기용약)과 함께 복용하지 마십시오.

MAO억제제(항우울제, 항정신병제, 감정조절제, 항파킨슨제 등) 복용을 중단한 후 2주 이내의 사람은 이 약을 복용하지 마십시오.

이 약을 복용하기 전에 당뇨약, 통풍약, 관절염약, 항응고제, 스테로이드제, 플루클록사실린 등 다른 약물을 투여 받고 있는 사람은 의사 또는 약사와 상의하십시오.

바르비탈계 약물, 삼환계 항우울제 및 알코올을 투여하는 환자는 의사 또는 약사와 상의하십시오.

복용 중에 음주하지 마십시오.
","발진·발적(충혈되어 붉어짐), 가려움, 구역·구토, 식욕부진, 변비, 부종(부기), 배뇨(소변을 눔)곤란, 지속적이거나 심한 목마름, 어지러움, 불안, 떨림, 불면, 뇌혈관사고(뇌졸중), 감각이상, 심근경색증, 허혈성 대장염(급성 복통, 장출혈 등), 쇽 증상(복용후 바로 두드러기, 부종, 가슴답답함 등과 함께 안색이 창백하고, 손발이 차고, 식은땀, 숨쉬기 곤란함), 피부점막안증후군(스티븐스-존슨증후군), 독성표피괴사용해(리엘증후군: 고열을 동반하고, 발진·발적, 화상과 같이 물집이 생기는 등의 심한 증상), 급성 전신성 발진성 농포증, 발열, 홍반, 천식, 전신의 나른함, 황달(피부 또는 눈의 흰자위가 황색을 띄게 됨), 간질성폐렴(기침을 동반하고, 숨이 차고, 호흡곤란, 발열 등), 고정발진, 가역적 후뇌 병증 증후군 및 가역적 뇌혈관 수축 증후군으 징후/증상(급작스런 심한 두통, 구역, 구토, 시각 장애 등) 등이 나타날 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.
","습기와 빛을 피해 실온에서 보관하십시오.

어린이의 손이 닿지 않는 곳에 보관하십시오.
"
K-019843,바이엘코리아(주),사리돈에이정 250mg/PTP,"이 약은 두통, 치통, 발치 후 동통, 인후통, 귀의 통증, 관절통, 신경통, 요통, 근육통, 견통, 타박통, 골절통, 염좌통, 월경통(생리통) 외상통의 진통과 오한, 발열 시의 해열에 사용합니다.
","성인은 1회 1정씩, 1일 3회까지 공복 시를 피하여 4시간 이상 간격을 두고 복용합니다.

이 약은 원칙적으로 단기 복용하며, 15세 미만의 소아는 이 약을 복용하지 마십시오.
","매일 세잔 이상 정기적 음주자가 이 약 또는 다른 해열진통제를 복용할 때는 의사 또는 약사와 상의하십시오. 간손상을 일으킬 수 있습니다.

아세트아미노펜으로 일일 최대 용량(4,000 mg)을 초과하여 복용하지 마십시오. 간손상을 일으킬 수 있습니다. 아세트아미노펜을 포함하는 다른 제품과 함께 복용하지 마십시오.
","이 약에 과민증, 다른 해열진통제, 감기약 복용 시 천식 경험자, 글루코스-6-인산 탈수소 효소 결핍증, 급성 간헐성(시간 간격을 두고 되풀이하여) 포르피린증, 과립백혈구감소증, 중증 간장애 또는 신장애, 출혈 소인 또는 소화 기관 궤양 환자, 15세 미만의 소아, 심한 혈액이상, 심한 심장기능저하 환자는 이 약을 복용하지 마십시오.

이 약을 복용하기 전에 알레르기 체질, 약에 의한 알레르기 증상(예: 발열, 발진, 관절통, 천식, 가려움 등) 경험자, 수두 또는 인플루엔자에 감염되어 있거나 또는 의심되는 15세 이상의 청소년, 갑상샘질환, 당뇨병, 고혈압, 몸이 약한 사람, 고열, 고령자, 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부, 속쓰림, 위부불쾌감, 위통과 같은 위장문제가 지속 혹은 재발되는 사람, 간장애 또는 경험자, 신장장애 또는 경험자, 소화성 궤양 또는 경험자, 혈액이상 또는 경험자, 출혈경향이 있는 환자, 심장기능이상 환자, 과민증 또는 경험자, 기관지 천식, 와파린 장기복용 환자는 의사 또는 약사와 상의하십시오.

5~6회 복용하여도 증상의 개선이 없을 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.

의사 또는 약사의 지시없이 통증에 10일 이상, 발열에 3일 이상 복용하지 마십시오.
","다른 소염진통제, 바르비탈계 약물, 삼환계 항우울제, 알코올과 함께 복용하지 마십시오.

리튬, 티아지드계 이뇨제와 함께 복용 시 의사 또는 약사와 상의하십시오.
","쇽 증상(호흡곤란, 온몸이 붉어짐, 혈관부기, 두드러기, 천식발작, 복용 후 곧바로 부종, 가슴답답함 등과 함께 안색이 창백해지고, 손과 발이 차가워지고, 식은 땀, 숨가쁨 등), 혈소판 감소, 과립구 감소, 용혈성(적혈구 파괴성)빈혈, 메트헤모글로빈혈증, 혈소판기능 저하(출혈시간 연장), 청색증, 저혈압, 쇼크, 구역, 구토, 식욕부진, 발진, 알레르기 반응, 피부점막안증후군(스티븐스-존슨 증후군), 독성표피괴사용해(리엘증후군), 고열, 발진, 발적, 화상모양 수포 등의 격렬한 증상이 전신피부, 입 및 눈의 점막에 나타남, 전신의 나른함, 황달, 기침 동반, 숨이 참, 호흡곤란, 발열 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.
","습기와 빛을 피해 실온에서 보관하십시오.

어린이의 손이 닿지 않는 곳에 보관하십시오.
"
K-019553,(주)유한양행,콘택골드캡슐 10mg/PTP,"이 약은 코감기, 알레르기성 비염 또는 부비강염에 의한 코막힘, 콧물, 재채기, 눈물, 인후통, 머리 무거움 완화에 사용합니다.
","만 15세 이상 및 성인은 1회 1캡슐씩, 만 11세 이상~만 15세 미만은 1회 2/3캡슐씩, 만 8세 이상~만 11세 미만은 1회 1/2캡슐씩, 1일 3회 식후마다 복용합니다.
",,"이 약에 과민증 환자, 만 3개월 미만의 영아 및 만 2세 미만의 소아, MAO억제제(항우울제, 항정신병제, 감정조절제, 항파킨슨제 등)를 복용하고 있거나 복용을 중단한 후 2주 이내의 사람은 이 약을 복용하지 마십시오.

이 약을 복용하기 전에 황색4호·황색5호에 과민증 또는 알레르기 반응 경험자, 알레르기 체질, 약에 의한 알레르기 증상(예: 발열, 발진, 관절통, 천식, 가려움증 등) 경험자, 고혈압, 심장질환, 녹내장(예: 눈의 통증, 눈이 침침함 등), 배뇨곤란, 갑상선질환, 당뇨병, 몸이 약한 사람, 고열, 임부 또는 임신하고 있을 가능성이 있는 여성, 고령자, 흡연, 천식, 만성 기관지염, 폐기종, 과도한 가래가 동반되는 기침, 1주 이상 지속 또는 재발되는 기침, 만성 기침, 발열·발진이나 지속적인 두통이 동반되는 기침 환자는 의사 또는 약사와 상의하십시오.

5~6회 복용하여도 증상의 개선이 없을 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.

정해진 용법과 용량을 잘 지키십시오.

어린이에게 투여할 경우 보호자의 지도 감독하에 투여하십시오.

복용 후 졸음이 나타날 수 있으므로 운전 및 기계조작 시 주의하십시오.
","다른 비염용 경구제, 항히스타민제를 함유하는 내복약(감기약, 진해거담제, 멀미약, 알레르기용약 등)과 함께 복용하지 마십시오.

복용 중에는 음주하지 마십시오.
","출혈성뇌졸중, 구역·구토, 목마름(지속적이거나 심한), 변비, 식욕부진, 발진·발적, 가려움, 배뇨곤란, 두통, 안면홍조, 비정상적인 눈부심, 드물게 쇽 증상(복용 후 바로 두드러기, 부종, 가슴답답함 등과 함께 안색이 창백하고, 손발이 차고, 식은땀, 숨쉬기 곤란함) 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.
","습기와 빛을 피해 실온에서 보관하십시오.

어린이의 손이 닿지 않는 곳에 보관하십시오.
"
K-022095,(주)대웅제약,임팩타민정 50mg/PTP,"이 약은 육체피로, 임신ㆍ수유기, 병중ㆍ병후(병을 앓는 동안이나 회복 후)의 체력 저하 시 비타민 B1, B2, B6의 보급과 구각염(입꼬리염), 구순염(입술염), 구내염(입안염), 설염(혀염), 습진, 피부염 증상의 완화와 아연의 보급에 사용합니다.","12세 이상 및 성인은 1회 2정씩, 1일 1회 또는 1회 1정씩, 1일 2회 식후에 복용합니다.",,"이 약에 과민증 환자, 만 12개월 미만의 젖먹이는 이 약을 복용하지 마십시오.이 약을 복용하기 전에 심장ㆍ순환기계기능 장애, 신장장애, 저단백혈증, 폴산이 부족한 환자, 황색4호에 과민증 환자 또는 경험자는 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.어린이에게 투여할 경우 보호자의 지도 감독하에 투여하십시오.요를 황색으로 변하게 하여 임상검사치에 영향을 줄 수 있습니다.","인산염, 칼슘염, 경구용 테트라사이클린계 제제, 제산제, 레보도파와 함께 복용하지 마십시오. 항알도스테론제, 트리암테렌과 함께 복용 시 의사 또는 약사와 상의하십시오.녹차, 홍차 등 탄닌을 함유하는 차는 복용 중, 복용 전후에는 피하십시오.","구역, 구토, 묽은 변, 위장관장애, 소화장애, 상복부통증, 저혈압, 폐부종 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.
K-025458,경동제약(주),그날엔정 75mg/PTP,"이 약은 두통, 치통, 발치(이를 뽑음)후 동통(통증), 인후(목구멍)통, 귀의 통증, 관절통, 신경통, 요(허리)통, 근육통, 견통(어깨통증), 타박통, 골절통, 염좌통(삔 통증), 생리통, 외상(상처)통의 진통, 오한, 발열시의 해열에 사용합니다.
","15세 이상은 1회 2정 1일 3회 공복(빈 속)을 피하여 복용하며 복용간격은 4시간 이상이 되도록 합니다.
","매일 세 잔 이상 정기적 음주자가 이 약 또는 다른 해열진통제를 복용할  때는 의사 또는 약사와 상의하십시오. 위장출혈을 일으킬 수 있습니다.

이 약 복용시 치명적일 수 있는 중대한 심혈관계 혈전 반응, 심근경색증, 뇌졸중의 위험이 증가하며, 위장관 출혈, 궤양 및 천공 등 심각한 위장관계 이상반응이 나타날 수 있습니다.
","이 약에 과민증 환자, 아스피린이나 다른 비스테로이드성 소염진통제(COX-2 저해제 포함)에 대하여 천식, 두드러기, 알레르기 반응 또는 경험자, 소화성궤양, 심한 혈액이상, 기관지 천식 또는 경험자, 관상동맥(심장동맥)우회로술(CABG) 전후에 발생하는 통증, 15세 미만의 소아는 이 약을 복용하지 마십시오.

이 약을 복용하기 전에 소화성궤양 경험자, 간장애 또는 경험자, 신장장애 또는 경험자, 심기능부전, 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부, 고령자, 심근경색이나 뇌졸중 예방목적으로 저용량 아스피린을 복용하는 사람은 의사 또는 약사와 상의하십시오.

정해진 용법과 용량을 잘 지키십시오.

5~6회 복용하여도 증상의 개선이 없을 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.
","다른 해열진통제, 감기약, 진정제, 멀미약과 함께 복용하지 마십시오.

프로베네시드, 설핀피라존, 디곡신, 페니토인, 바크로펜, 이뇨제, 항고혈압제, ACE 저해제(억제제), 푸로세미드, 아스피린, 리튬, 메토트렉세이트, 경구용 항응혈제(와파린 등)를 함께 복용 시 의사 또는 약사와 상의하십시오.
","구역, 복부팽만감, 위통, 가슴앓이, 식욕부진, 설사, 변비, 구토, 위염, 잠재성출혈과다, 드물게 출혈을 동반한 소화기계의 궤양, 때때로 중추신경 이상반응, 두통, 우울, 현기증, 불면, 공포, 의식장애, 이명(귀울림), 난청, 약시, 드물게 두드러기, 자반, 가려움증, 발진, 매우 드물게 피부점막안증후군(스티븐스-존슨증후군), 광민감 반응(빈도불명), 다형성 홍반, 탈락 피부염, 독성표피괴사용해(리엘증후군) 및 빈도불명의 호산구 증가 및 전신 증후군을 동반한 약물 발진(DRESS 증후군)과 급성전신발진고름물집증, 드물게 황달, GOT, GPT, ALP의 상승, 드물게 재생불량성빈혈, 용혈성빈혈, 자가면역 출혈성빈혈, 출혈, 과립구감소, 혈소판감소, 혈소판기능저하(출혈시간 연장), 드물게 급성신부전, 핍뇨(소변감소), 혈뇨 등의 증상 및 요단백, BUN, 혈중크레아티닌의 상승, 고칼륨혈증, 전신부종, 코니스 증후군 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.
","습기와 빛을 피해 실온에서 보관하십시오.

어린이의 손이 닿지 않는 곳에 보관하십시오.
"
K-024854,(주)종근당,펜잘큐정 300mg/PTP,"이 약은 두통, 치통, 발치(이를 뽑음)후 동통(통증), 인후통, 귀의 통증, 관절통, 신경통, 허리통, 근육통, 어깨결림, 타박통, 골절통, 염좌통(삔 통증), 월경통(생리통), 외상(상처)통의 진통, 오한, 발열 시의 해열에 사용합니다.
","만 15세 이상 및 성인은 1회 1정씩, 만 11세 이상~만 15세 미만은 1회 1/2 ~ 2/3정씩, 만 8세 이상~만 11세 미만은 1회 1/2정씩, 1일 3회 빈 속을 피하여 4시간 이상 간격을 두고 복용합니다.
","매일 세잔 이상 정기적 음주자가 이 약 또는 다른 해열진통제를 복용할 때는 의사 또는 약사와 상의하십시오. 간손상을 일으킬 수 있습니다.

매우 드물게 치명적일 수 있는 급성전신발진고름물집증, 스티븐스-존슨증후군, 독성표피괴사용해와 같은 중대한 피부반응이 보고되었고 이 약 복용 후 피부발진 또는 다른 과민반응의 징후가 나타나는 경우 즉시 복용을 중단하십시오.

아세트아미노펜으로 일일 최대 용량(4,000 mg)을 초과하여 복용하지 마십시오. 간손상을 일으킬 수 있습니다. 아세트아미노펜을 포함하는 다른 제품과 함께 복용하지 마십시오.
","이 약에 과민증 환자 또는 다른 해열진통제, 감기약 복용 시 천식 경험자, 만 3개월 미만의 영아 및 만 2세 미만의 소아는 이 약을 복용하지 마십시오.

이 약을 복용하기 전에 수두 또는 인플루엔자에 감염되어 있거나 또는 의심되는 영아 및 만 15세 미만의 어린이, 알레르기 체질, 약에 의한 알레르기 증상(예: 발열, 발진, 관절통, 천식, 가려움증 등) 경험자, 간장질환, 신장질환, 심장질환, 갑상선질환, 당뇨병, 고혈압, 몸이 약한 사람, 고열, 고령자, 임부 또는 임신하고 있을 가능성이 있는 여성 및 수유부, 속쓰림, 위부불쾌감, 위통과 같은 위장문제가 지속 혹은 재발되거나 궤양, 출혈문제를 가지고 있는 사람, 구토와 설사로 많은 수분을 손실하거나 수분을 흡수하지 않는 사람은 의사 또는 약사와 상의하십시오.

5~6회 복용하여도 증상의 개선이 없을 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.

정해진 용법과 용량을 잘 지키십시오.

어린이에게 투여할 경우 보호자의 지도 감독하에 투여하십시오.
","다른 해열진통제, 감기약, 진정제와 함께 복용하지 마십시오.

바르비탈계 약물, 삼환계 항우울제, 알코올, 이뇨제, 당뇨약, 통풍약, 관절염약, 항응고제, 스테로이드제 등과 함께 복용 시 의사 또는 약사와 상의하십시오.
","발진·발적(충혈되어 붉어짐), 가려움, 구역·구토, 식욕부진, 변비, 위통, 소화관출혈, 위부불쾌감, 어지러움, 난청(귀먹음), 부종(부기), 이명(귀울림), 드물게 쇽 증상(복용 후 바로 두드러기, 부종(부기), 가슴답답함 등과 함께 안색이 창백하고, 손발이 차고, 식은땀, 숨쉬기 곤란함), 피부점막안증후군(스티븐스-존슨증후군), 독성표피괴사용해(리엘증후군), 천식, 전신의 나른함, 황달 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.
","습기와 빛을 피해 실온에서 보관하십시오.

어린이의 손이 닿지 않는 곳에 보관하십시오.
"
K-025500,태극제약(주),판코타제정 175mg/PTP,"이 약은 소화불량, 식욕감퇴(식욕부진), 과식, 체함, 소화촉진, 소화불량으로 인한 위부팽만감에 사용합니다.",성인은 1회 1~2정 1일 3회 식후에 복용합니다.,,"만 7세 이하의 어린이, 갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.이 약을 복용하기 전에 알레르기 체질인 환자, 황색4호에 과민증 환자 또는 경험자는 의사 또는 약사와 상의하십시오.정해진 용법과 용량을 잘 지키십시오.2주 정도 복용하여도 증상의 개선이 없을 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",,,습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.
K-025276,오펠라헬스케어코리아(주),부스코판플러스정 10mg/PTP,"이 약은 위장관계 질환의 발작성 동통 또는 담도계, 비뇨기계, 월경곤란증 등 여성 생식기계의 기능장애 및 경련성 동통에 사용합니다.
","성인은 1회 1~2정씩, 1일 3회 복용합니다.

1일 최대용량은 6정을 초과하지 마십시오.
","매일 세 잔 이상 정기적 음주자가 이 약 또는 다른 해열진통제를 복용할 때는 의사 또는 약사와 상의하십시오. 간손상을 일으킬 수 있습니다.

아세트아미노펜으로 일일 최대 용량(4,000 mg)을 초과하여 복용하지 마십시오. 간손상을 일으킬 수 있습니다. 아세트아미노펜을 포함하는 다른 제품과 함께 복용하지 마십시오.
","이 약에 의한 과민증(발진, 붉은 반점, 가려움, 후두, 눈꺼풀, 입술 등의 부종) 경험자, 다른 감기약 또는 해열진통제에 의한 천식 경험자, 심한 신장애, 글루코스-6-인산탈수소효소 결핍증 환자, 녹내장, 전립선 비대증에 의한 배뇨(소변을 눔)장애, 유문협착(유문 좁아짐) 등 위장관의 기능적 협착, 마비성 또는 폐쇄성 장폐색(창자막힘증) 환자, 심한 근육무력증, 거대결장 환자, 빈맥 및 빠른 부정맥 환자, 심한 간장애, 심한 심질환, 출혈성대장염, 소화성궤양, 심한 혈액이상 환자는 이 약을 복용하지 마십시오.

이 약을 복용하기 전에 세균성 설사 환자, 간장애 또는 경험자, 길버트증후군(모일렌그라하트증), 심장기능이상(관상동맥부전, 심부전, 부정맥 등), 신장애 또는 경험자, 소화성궤양 경험자, 혈액이상 또는 경험자, 출혈경향이 있는 환자, 과민증 경험자, 기관지 천식, 궤양성 대장염, 갑상선 기능 항진증, 발열, 전립선 비대 환자, 고령자, 임부 또는 수유부, 글루타치온 보유량이 낮은 상태의 환자, 협각녹내장 위험성이 있는 환자, 장이나 요관 출구 막힘에 걸리기 쉬운 환자, 빠른 부정맥이 발생하기 쉬운 환자는 의사 또는 약사와 상의하십시오.

눈의 조절장애가 나타날 수 있으므로 운전 및 기계조작 시 주의하십시오.
","바르비탈계 약물, 삼환계 항우울제, 알코올, 지도부딘과 함께 복용하지 마십시오.

와파린, 플루클록사실린, 사환계 항우울약, 항히스타민제, 항정신병약, 퀴니딘, 아만타딘, 디소피라미드 및 기타 항콜린약물(예: 티오트로피움, 이프라트로피움, 아트로핀 유사 화합물), 메토클로프라미드, 베타-효능약, 프로판텔린, 클로람페니콜, 프로베네시드, 콜레스티라민과 함께 복용 시 의사 또는 약사와 상의하십시오.
","혈소판감소증, 무과립구증, 청색증, 백혈구감소증, 과립구감소, 용혈성(적혈구 파괴성)빈혈, 메트헤모글로빈혈증, 혈소판기능 저하(출혈시간 연장), 홍조, 피부 반응, 땀분비이상, 가려움증, 피부건조 (땀분비억제영향), 두드러기, 홍반(붉은 반점), 쇼크를 포함한 혈압저하, 아나필락시스성 쇼크, 아나필락시스성 반응, 약물 발진, 호흡곤란, 과민증, 혈관 부종, 발진, 피부발진, 부종(후두, 눈꺼풀, 입술 등), 가슴답답함, 수족냉증(손발이 차가움), 식은 땀, 숨가쁨, 화상모양 수포(물집), 알레르기 반응, 피부점막안증후군(스티븐스-존슨 증후군), 독성표피괴사용해(리엘 증후군), 두근거림, 빈맥(빠른 맥), 현기증, 피로감, 기관지경련(특히, 기관지 천식이나 알레르기 반응 경험자), 목마름, 설사, 구역, 구토, 식욕부진, 변비, 복부팽만, 배뇨곤란, 요저류(소변이 고임), 동공확대, 모양근마비, 조절장애(고도원시환자), 불안, 흥분, 환각, 두통, 머리 무거움, 이상고열, 예기치 못한 복통의 지속 또는 악화, 장운동의 변화, 복부압통(누르는 통증), 혈압 저하, 실신 및 혈변 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.
","실온에서 보관하십시오.

어린이의 손이 닿지 않는 곳에 보관하십시오.
"
K-025189,오펠라헬스케어코리아(주),뮤코펙트정(암브록솔염산염),"이 약은 점액분비장애로 인한 급·만성기관지염, 천식성기관지염에 사용합니다.",성인은 1회 1정(30 mg)씩 1일 3회 식사와 관계없이 복용합니다.계속 치료시 1회 1정(30 mg)씩 1일 2회 복용합니다.,,"이 약에 과민증 환자, 심한 신장애, 심한 간장애, 갈락토오스 불내성, Lapp 유당분해효소 결핍증 또는 포도당-갈락토오스 흡수장애 등의 유전적인 문제가 있는 환자는 이 약을 복용하지 마십시오.이 약을 복용하기 전에 신장애, 소화성궤양, 임부, 수유부, 고령자는 의사 또는 약사와 상의하십시오.","에리트로마이신, 세팔렉신, 옥시테트라사이클린, 아목시실린, 세퓨록심, 독시사이클린 등의 항생제와 함께 복용 시 의사 또는 약사와 상의하십시오.","피부점막안증후군(스티븐스-존슨증후군), 독성표피괴사용해(리엘증후군) 같은 심각한 피부 손상, 열, 가려움, 비염, 기침 및 인후염과 같은 비특이적 인플루엔자-유사 전구증상, 흔하게 구역, 흔하지 않게 구토, 설사, 소화불량, 복통, 가슴쓰림, 구강건조, 위부불쾌감, 위·복부팽만감, 변비, 식욕부진, 두드러기, 피부 발진, 아나필락시스 반응(아나필락시스 쇼크 포함), 두드러기모양 홍반, 혈관부종, 가려움, 기타 다른 과민반응, 얼굴부기, 호흡곤란, 오한을 수반한 체온상승, 백혈구 증가를 수반하는 화농성 비염, 혀의 감각이상, 미각변화, 구내마비감, 팔의 마비감 등이 나타나는 경우 복용을 즉각 중지하고 의사 또는 약사와 상의하십시오.",습기와 빛을 피해 실온에서 보관하십시오.어린이의 손이 닿지 않는 곳에 보관하십시오.
